epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,783.677,0.82202,0.97742,1.04405,0.53204,0.72374,0.50075,0.28711,1.36639,2.21269,1.47071,0.0003962,0.0003962,0.0003962
83,796.451,0.66219,0.76627,0.95411,0.53204,0.72374,0.50075,0.28711,1.36639,2.21269,1.47071,0.0003764,0.0003764,0.0003764
84,806.882,0.71394,0.84252,0.98797,0.55134,0.7834,0.55313,0.33469,1.45301,2.06028,1.5254,0.0003566,0.0003566,0.0003566
85,817.896,0.83483,0.90574,1.02406,0.55134,0.7834,0.55313,0.33469,1.45301,2.06028,1.5254,0.0003368,0.0003368,0.0003368
86,832.701,0.74133,0.83152,0.988,0.56706,0.72727,0.5699,0.35941,1.47018,1.92749,1.55443,0.000317,0.000317,0.000317
87,844.641,0.67964,0.79757,0.9429,0.56706,0.72727,0.5699,0.35941,1.47018,1.92749,1.55443,0.0002972,0.0002972,0.0002972
88,857.952,0.66476,0.72601,0.94145,0.56693,0.72727,0.57392,0.33575,1.46911,1.85372,1.59504,0.0002774,0.0002774,0.0002774
89,873.095,0.6455,0.75434,0.93615,0.56693,0.72727,0.57392,0.33575,1.46911,1.85372,1.59504,0.0002576,0.0002576,0.0002576
90,885.449,0.66152,0.77823,0.95551,0.56689,0.72727,0.56513,0.33763,1.45955,1.83241,1.55795,0.0002378,0.0002378,0.0002378
91,896.52,0.62704,0.923,0.88104,0.56689,0.72727,0.56513,0.33763,1.45955,1.83241,1.55795,0.000218,0.000218,0.000218
92,908.966,0.57721,0.89957,0.87636,0.52578,0.81818,0.58125,0.33104,1.41571,1.81737,1.46448,0.0001982,0.0001982,0.0001982
93,923.462,0.52297,0.84731,0.86797,0.52578,0.81818,0.58125,0.33104,1.41571,1.81737,1.46448,0.0001784,0.0001784,0.0001784
94,939.991,0.50899,0.80455,0.89461,0.59591,0.80517,0.58857,0.35849,1.40775,1.80277,1.44637,0.0001586,0.0001586,0.0001586
95,955.904,0.50874,0.83141,0.87854,0.59591,0.80517,0.58857,0.35849,1.40775,1.80277,1.44637,0.0001388,0.0001388,0.0001388
96,970.638,0.48635,0.80205,0.86285,0.5976,0.81055,0.59622,0.35439,1.39105,1.79536,1.38901,0.000119,0.000119,0.000119
97,980.951,0.55823,0.88114,0.90158,0.5976,0.81055,0.59622,0.35439,1.39105,1.79536,1.38901,9.92e-05,9.92e-05,9.92e-05
98,991.589,0.54778,0.80543,0.87779,0.59814,0.81226,0.60057,0.35005,1.41591,1.76367,1.43374,7.94e-05,7.94e-05,7.94e-05
99,1001.64,0.53788,0.83901,0.86229,0.59814,0.81226,0.60057,0.35005,1.41591,1.76367,1.43374,5.96e-05,5.96e-05,5.96e-05
100,1009.66,0.48225,0.76056,0.86827,0.59769,0.81085,0.63658,0.38044,1.40381,1.75645,1.41751,3.98e-05,3.98e-05,3.98e-05
