epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,788.046,0.67993,0.69015,0.97907,0.87907,0.9375,0.82654,0.56041,1.21971,0.98608,1.21296,0.0002576,0.0002576,0.0002576
90,796.683,0.58066,0.58976,0.90694,0.87864,0.9375,0.8267,0.54946,1.20155,0.98559,1.20402,0.0002378,0.0002378,0.0002378
91,805.36,0.5508,0.75055,0.89867,0.87864,0.9375,0.8267,0.54946,1.20155,0.98559,1.20402,0.000218,0.000218,0.000218
92,814.277,0.61156,0.76182,0.84159,0.87902,0.9375,0.82653,0.53984,1.20785,0.99516,1.20677,0.0001982,0.0001982,0.0001982
93,823.186,0.54024,0.74574,0.86148,0.87902,0.9375,0.82653,0.53984,1.20785,0.99516,1.20677,0.0001784,0.0001784,0.0001784
94,832.074,0.56161,0.73952,0.85459,0.87929,0.9375,0.82645,0.53414,1.21195,1.00001,1.19967,0.0001586,0.0001586,0.0001586
95,841.628,0.52176,0.69407,0.89284,0.87929,0.9375,0.82645,0.53414,1.21195,1.00001,1.19967,0.0001388,0.0001388,0.0001388
96,850.554,0.5409,0.74109,0.86445,0.87952,0.9375,0.82647,0.55866,1.22033,1.00606,1.20356,0.000119,0.000119,0.000119
97,859.733,0.55111,0.7248,0.88146,0.87952,0.9375,0.82647,0.55866,1.22033,1.00606,1.20356,9.92e-05,9.92e-05,9.92e-05
98,868.453,0.50983,0.68216,0.86788,0.87927,0.9375,0.82647,0.56667,1.22379,1.01297,1.20933,7.94e-05,7.94e-05,7.94e-05
99,876.944,0.53136,0.69438,0.86875,0.87927,0.9375,0.82647,0.56667,1.22379,1.01297,1.20933,5.96e-05,5.96e-05,5.96e-05
100,885.305,0.52488,0.71752,0.87207,0.87921,0.9375,0.83413,0.56997,1.213,0.98857,1.20929,3.98e-05,3.98e-05,3.98e-05
